task,stage,repr,algo,k,eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
medium,final,hybrid_pca_baseline,dbscan,,0.4,20.0,-0.00971634965389967,1.4277052915598074,109.71005560717877,0.12860614087984729,0.05998174946750409,0.7034941763727122,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.5,5.0,-0.17560240626335144,1.452611787206171,12.05904829431011,0.014206888052624789,0.14903562297807163,0.7128119800332778,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.5,5.0,0.03175727277994156,9.599385346447104,24.04666573907889,-0.030151496951148427,0.033427114388625424,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.5,5.0,-0.08388335257768631,1.4668484731552942,10.74216789138593,0.06060211910851071,0.09386958139747091,0.7044925124792013,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.5,5.0,-0.025704562664031982,1.900268214085426,223.67593720338246,0.05721432719883458,0.13045793289808036,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.5,10.0,-0.1304597109556198,1.5113603592719176,19.82025170761417,-0.0025382902967217573,0.08320572772547999,0.7011647254575707,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.5,10.0,-0.007044376339763403,7.707426302084293,64.64481870229929,-0.0643020491198065,0.046525033944265236,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.5,10.0,0.06740683317184448,1.285529145637901,21.25989461229582,0.04584098367052052,0.06383592950327259,0.6995008319467554,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.5,10.0,-0.027887912467122078,2.001378191609255,305.24093714270873,0.08289498059788324,0.1267018338580386,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.5,20.0,-0.0695585161447525,1.6160293637595122,17.560121469595035,-0.021232683729629845,0.006266378319641469,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.5,20.0,-0.01229137647897005,7.012693187278324,65.08013567783782,-0.05662307766239505,0.043578902256719225,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.5,20.0,0.06672505289316177,1.2943505890559401,26.68676999453592,0.02971997691792872,0.04281979231489372,0.6978369384359401,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.5,20.0,-0.034136902540922165,1.8819539570885528,341.77770355128143,0.17067995255683968,0.13387441182130153,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.7,5.0,-0.07209967076778412,3.831242748916599,5.96134538305207,0.010610100688345097,0.014070128639891922,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.7,5.0,0.03371800482273102,10.158396421291902,5.635442171334593,-0.0152680744731517,0.015388352119981021,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.7,5.0,-0.04958396032452583,2.2665277616602726,18.799095464039485,0.029355673340942808,0.10503774267874727,0.7021630615640599,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.7,5.0,-0.024498622864484787,7.552323882680522,5.3186870057948665,-0.01755799673262371,0.016051362810754477,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.7,10.0,-0.044601891189813614,4.437584196541179,10.606192353109007,-0.021976944338127528,0.01888246580686713,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.7,10.0,0.03400847315788269,9.815935785182445,6.393378127610888,-0.015130583618572849,0.015448342667540497,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.7,10.0,-0.05601560324430466,2.831073502642254,26.66574191663387,0.028026153179169448,0.09422869062526111,0.7004991680532446,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.7,10.0,0.02449483424425125,10.21905845161661,7.328698627488951,-0.011796451035832378,0.017491884797834825,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.7,20.0,0.006785768084228039,5.179327603734231,45.11856519201767,0.016456580453722287,0.04598252054533343,0.6978369384359401,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.7,20.0,0.03435223177075386,9.530390352224847,7.311290497364604,-0.012114890214151927,0.016052218210305863,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.7,20.0,-0.058749791234731674,3.066378987453566,29.68054902523792,0.01987428419663163,0.08813778761419015,0.6995008319467554,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.7,20.0,0.024862898513674736,10.676530660651636,7.957744516658613,-0.01087640370335928,0.018422290148195915,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.9,5.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.9,5.0,0.036915965378284454,6.404846323189806,1.2937392080800414,-0.003799554390362735,0.0036701854530699933,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.9,5.0,0.04742308706045151,3.5286112771660734,16.596124908849568,0.10206940072913262,0.08732079172117291,0.7021630615640599,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.9,5.0,0.026711000129580498,4.416953597686697,1.2907743046505777,-0.0019107169523030017,0.0019811055168184127,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.9,10.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.9,10.0,0.036915965378284454,6.404846323189806,1.2937392080800414,-0.003799554390362735,0.0036701854530699933,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.9,10.0,0.04457728937268257,6.182046272446628,45.575051603417776,0.0857841528479928,0.07764565490623526,0.7004991680532446,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.9,10.0,0.026711000129580498,4.416953597686697,1.2907743046505777,-0.0019107169523030017,0.0019811055168184127,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.9,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.9,20.0,0.036794062703847885,7.208064840984466,1.2513110365010132,-0.005362580835604905,0.003950672537300503,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.9,20.0,0.044045042246580124,5.833992974670813,49.27584636414719,0.07897844381273321,0.07901630837474874,0.7004991680532446,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.9,20.0,0.026218261569738388,5.565783590363308,1.325206428806442,-0.0022201123935169887,0.0037408771229838493,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.1,5.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.1,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.1,5.0,0.11368449032306671,1.5491155924717293,4.703408696673702,0.006989767439764262,0.012364528137713078,0.6948419301164726,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.1,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.1,10.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.1,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.1,10.0,0.12610401213169098,2.214719952266867,6.50574172301808,0.007514389652975301,0.00973687544437334,0.6941763727121464,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.1,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.1,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.1,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.1,20.0,0.12768416106700897,2.386539680470878,6.5473547695017125,0.008779488464568821,0.010962998595137746,0.6941763727121464,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.1,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.3,5.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.3,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.3,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.3,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.3,10.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.3,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.3,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.3,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,1.3,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,1.3,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,1.3,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,1.3,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
